totaldue,education_flag,employment_flag,bnk_acc_typ_flag,loan_freq,avg_paybacktime,clients_avg_loanAMT,clients_max_loanAMT,total_loans,ontime_loans,ontime_percentage,pays_late_risk,referred_client,loan_interest2,%loan_int2,age_categ_youth,age_categ_young_adult,age_categ_adult,age_categ_retired,BorrowerReliabilityScore
0,1,0,0,3,0.920864834435027,0.17735216095003525,0.9261017408357876,2,7,0.10462107934948439,1,1,0.038102229987202696,0.11137871535864818,1,0,0,1,0.4345996479280443
0,1,1,0,2,0.17096051085655684,0.8067466496462752,0.36536916049177925,1,5,0.1599173769938862,0,1,0.6459365394320681,0.9957446198134161,0,0,0,0,0.03554366738298387
0,0,1,0,4,0.5371605260274073,0.44994695619705616,0.7457831312009151,9,6,0.5527574479403309,0,1,0.6576901652647704,0.4667304065171529,1,0,0,0,0.4076209378691519
0,0,0,0,7,0.3720685698906824,0.464153038024504,0.9993414839950036,1,5,0.3997332460482893,1,0,0.40496924227800646,0.22976484761537286,1,0,1,1,0.18803741822522835
0,0,0,1,3,0.7588075795157333,0.8509272300368051,0.9079059550506835,2,8,0.9739209226813429,1,1,0.13010039025108022,0.1870646806988221,0,1,1,0,0.5648155826950034
0,1,0,0,8,0.5368576195355153,0.9210013499567926,0.6913392590565943,3,4,0.33304601627068786,1,0,0.8605798813218686,0.7133152233664217,0,1,1,0,0.5184003818320465
1,1,1,1,1,0.8909529934445782,0.25609829741851053,0.7354362473851748,1,4,0.034535302134281576,1,0,0.595642090405627,0.799751737051173,0,1,1,0,0.20543060303285687
0,0,1,1,1,0.5819542031454966,0.46575939155891355,0.2825277950485371,3,6,0.17588613104011108,1,1,0.44522277380946396,0.11443057381313304,1,1,1,0,0.6954151304345996
1,0,0,1,5,0.23755191496095152,0.9490343054091074,0.7924566763550349,2,4,0.6416404915617692,0,0,0.07606162680175499,0.12151187160111854,0,0,0,0,0.812009193428675
0,0,1,0,9,0.12335867162517511,0.15956961781115397,0.9983150401153303,9,5,0.2226496025282685,1,1,0.5910069514694768,0.7485330862055585,0,1,0,0,0.30402676682922014
0,1,0,0,4,0.33449419787409873,0.7806343077664509,0.7539030636968246,3,2,0.7474539405095979,0,0,0.38892118425591093,0.843454543299988,1,0,1,1,0.011053408719027824
1,0,0,0,8,0.8671427538376248,0.5244745337434036,0.5807254291821492,3,9,0.42600333070551355,1,0,0.1898835459305943,0.4584205703487446,1,1,1,1,0.6443322177647016
0,0,0,0,3,0.6699641139481443,0.026365977078205982,0.5218886127320127,2,2,0.3944011192440634,0,1,0.44616723664916313,0.8474797322514764,1,1,1,1,0.5081594890724314
1,0,1,0,6,0.5776024761780224,0.4085668857737986,0.7742245010657488,3,9,0.047520924290623934,0,0,0.5094100293358766,0.7157484979228629,0,0,0,0,0.8361606006912982
1,0,0,1,3,0.8666050694299553,0.5648073745484081,0.7669405569423302,9,6,0.20942696592181742,1,1,0.20303357781138787,0.595198804248931,0,1,0,1,0.3381764957580421
1,1,1,1,8,0.19899519646503572,0.6646840191138262,0.7866659452679917,3,4,0.6542818155004106,1,0,0.8101802197851795,0.5063988356101232,1,0,0,0,0.15193552530215437
0,0,1,1,5,0.1252815825540089,0.15771508996655992,0.3409246021339105,6,8,0.42471259959681495,1,0,0.26067698559910235,0.23621751320934914,0,0,1,0,0.6851787494374816
0,1,1,1,6,0.37545723986915736,0.300545363024068,0.9201013001077168,3,6,0.30400416156131793,0,0,0.839565161597711,0.32547310635665827,1,0,0,0,0.31396329907421017
1,1,0,1,1,0.5870398529706471,0.08745084774014422,0.08769539828216888,5,5,0.32557009822195626,0,0,0.17906523903032345,0.43410096321494274,1,0,1,1,0.429341945411853
0,0,0,1,3,0.7902626077980939,0.06129298037189257,0.5393137533936359,8,4,0.01759485336350486,0,1,0.9118406463801328,0.6675355292368652,0,1,1,1,0.4730823895029995
1,0,0,1,2,0.3010454304950464,0.7561401201067481,0.01333533393742048,1,1,0.2671012934027267,1,1,0.6033975942751638,0.06638993927209702,1,0,0,0,0.9693644514248017
0,1,1,1,9,0.30514761930889367,0.9005577099071811,0.8021439479334923,6,2,0.2625601622858835,1,0,0.5109088028340015,0.4719359453663369,0,1,1,0,0.14033309743857192
0,0,0,0,2,0.1061513932114303,0.7775845779107976,0.376035436511329,1,4,0.17232288015220443,1,0,0.3530974002143802,0.6531607884545204,0,0,0,0,0.18195630717929867
0,0,0,0,6,0.88016815632409,0.14325004722675927,0.49844218789350003,5,7,0.2964947835739381,0,1,0.2837215302341417,0.5520511632431924,0,0,0,1,0.6974444217844354
0,1,1,1,8,0.6711502248406234,0.7446129783166474,0.28322564107340453,6,3,0.6709279083649738,1,1,0.4217333150053745,0.6994737078849146,1,1,1,1,0.996313400731399
1,1,1,1,9,0.4440332344521364,0.235146369818947,0.39328663321121327,5,1,0.7323749623498361,1,1,0.4625485610338569,0.7231276376808677,0,0,1,1,0.9365502484904386
0,1,0,1,6,0.8777431695895515,0.2537724593953078,0.08068288477999708,8,9,0.9518882001813833,1,0,0.2906832292699437,0.13915895967453717,1,1,1,1,0.6082875598553494
0,0,1,0,2,0.875014115783377,0.5001419263475575,0.5588427240971034,7,1,0.8185885071799717,0,1,0.309399195126165,0.28666457828685676,0,0,0,0,0.5318549934361453
0,1,1,0,9,0.5136456272462677,0.6673491791547911,0.5268132784892089,8,8,0.350198017513494,0,0,0.2581021291257076,0.31221774922122114,1,0,1,1,0.8591267563969079
0,1,1,0,6,0.6888713526882388,0.6734683616954709,0.11272072312235193,8,1,0.36670266307117805,1,1,0.37360515443710984,0.01122094236033122,1,0,0,0,0.2060709758258058
1,0,0,0,1,0.4447869330574842,0.7271348536551091,0.5240533126357914,4,8,0.3009281478484661,1,1,0.6323121873781182,0.8828709302202362,0,0,1,1,0.6615665509533009
0,0,1,1,6,0.8940811849406389,0.5182539981015976,0.8120978733867843,6,2,0.8904906014919439,1,1,0.4298619329657287,0.5036161629981513,1,0,1,0,0.3394264006613771
1,0,0,1,1,0.22914439806662368,0.2835914874004376,0.6606189057893623,8,7,0.6576107902742896,0,1,0.6186971229006643,0.3444546688462914,1,0,0,0,0.18894701312472273
1,0,1,1,1,0.5590827849074617,0.4659916926339307,0.18572929264491567,8,5,0.8303396561227616,1,0,0.9896376300704979,0.6130047067175317,0,0,1,1,0.04560296870533975
1,0,1,1,7,0.7341455473401637,0.7642489160426411,0.7748864342144223,2,1,0.6393182822299607,1,0,0.4206358620662063,0.9400906361348859,1,1,0,0,0.026948245663151016
1,1,1,1,1,0.6080381012965299,0.878485743707713,0.2988092959447779,4,3,0.9185550523280891,0,0,0.5769813260661967,0.44331463540751537,1,0,1,0,0.5075304048499647
1,1,0,0,6,0.708492293982703,0.44468994235490966,0.7388197689981338,6,9,0.20668924967608515,1,1,0.9638679374260469,0.7237981236168582,0,1,0,1,0.7803693705651404
1,1,0,1,4,0.9426257664766077,0.23706548234068736,0.835104222114721,8,4,0.3654211027468053,0,0,0.5525521964964708,0.27972665542059205,0,0,0,0,0.12436047506396741
0,1,0,0,5,0.2743097101040579,0.6189080892871711,0.351320164598372,5,5,0.4647318507022469,1,1,0.5972032702042185,0.3151105838152102,0,1,0,1,0.2939612686475406
0,1,0,0,3,0.14151056689444985,0.3360823978506158,0.47668645774460894,5,8,0.7745883373343322,0,1,0.9909501355899044,0.22476882419720046,1,0,0,0,0.7564351657426288
0,1,1,1,9,0.6409247419680028,0.38391467905152277,0.47076619637489014,4,2,0.10169846038366193,0,0,0.206195294563418,0.12917023764521274,1,0,0,0,0.9610409669117096
1,0,0,1,3,0.8623479157384335,0.6568200611425401,0.028823831786063958,4,5,0.24193207147235807,0,1,0.7603152655635812,0.013258457753452801,0,1,0,0,0.7083371746610092
1,1,0,1,6,0.6496373561459756,0.3486499344940167,0.3621733979237257,4,2,0.892872440595705,1,0,0.30096298914873065,0.5821324811833293,1,1,0,0,0.141535421075892
0,0,1,1,3,0.1885898699302564,0.03510075355269515,0.5193748791454798,8,5,0.8362035966171607,0,0,0.7539593198751537,0.9444038712152378,1,1,0,1,0.798460947256875
1,0,0,1,6,0.8707921517447201,0.20236016063673967,0.7928110968235722,9,1,0.055213373324652704,0,1,0.7162676943928413,0.8342868137093805,0,1,0,0,0.5834728444496176
0,0,0,0,4,0.9320061149887964,0.005431257673299328,0.3460563646290765,5,4,0.021112543980622345,1,0,0.70819951664672,0.45457053232211664,0,0,0,1,0.24327702038713117
1,1,0,1,1,0.5697360820504274,0.40342579685910696,0.07850992607118712,8,4,0.06555701890180121,1,0,0.2645823010874784,0.48841465202169365,1,0,0,0,0.8241729343173132
0,1,0,0,9,0.3970514814963775,0.7637184842036604,0.8981372657500689,9,9,0.1826468012711593,1,1,0.027932395554917888,0.5563217976654765,0,0,1,1,0.09171109924913301
0,1,0,0,1,0.025823492538025072,0.7228476774380099,0.4671661581553792,5,3,0.7466373421758856,0,0,0.5246867742607925,0.9056997968445581,1,1,0,1,0.908206171453803
0,1,1,1,9,0.19260608047868544,0.7184466871712873,0.7986033720548594,7,1,0.5605516141957941,1,0,0.955797641403672,0.3367326021919783,1,0,0,0,0.9944265218680937
0,0,1,1,3,0.21048308300415108,0.09897036772890477,0.08653979959282343,4,3,0.07828437663894594,0,0,0.15799347558628984,0.496469625403576,0,0,0,0,0.3602886225236208
0,1,0,1,9,0.761699858361696,0.9726818427046843,0.188631031173785,5,3,0.4366886251147962,0,0,0.8723044612009185,0.5511241221728016,1,0,1,1,0.4972142217392017
1,1,1,0,8,0.9829492800585459,0.6664363824863931,0.6428787731385186,8,4,0.8091812713204287,1,0,0.9956492951094826,0.7701868052582558,0,1,0,0,0.4077590168931037
0,1,0,0,6,0.6440706986121139,0.012577486337785992,0.5682489116149557,4,9,0.23644218838336362,1,0,0.7957821353457224,0.5643794091431128,0,0,1,0,0.42888763682175146
0,0,0,1,8,0.4662468881771884,0.9019274978880899,0.12683909702120677,1,7,0.18697066496126657,1,0,0.8086480112476996,0.6087429989599782,0,1,0,1,0.8076662667496003
0,1,0,0,4,0.7873354352502024,0.9315436542430451,0.3998468529863949,4,7,0.736851798698392,1,1,0.19351460192384584,0.3178762406255724,0,0,0,1,0.5526130201555965
1,1,0,0,5,0.6281782628351852,0.005099664924322678,0.8452991104289461,2,8,0.12152927399885882,1,0,0.6566422237666412,0.7973148225759613,1,0,0,0,0.11902683431514272
0,0,1,1,1,0.14915939884078133,0.40075849248206785,0.8872602695068773,1,6,0.7519210297770654,1,0,0.864367837907836,0.9994973600528905,0,1,0,1,0.5796567420820423
1,0,0,0,8,0.0007995285085484749,0.012126515439347285,0.6257571785413163,2,1,0.8415750416808564,1,0,0.6349972701626811,0.38365915958476793,1,1,0,1,0.41066187082876926
0,0,1,0,1,0.12430393979599685,0.9179085737319218,0.5139534150813834,5,4,0.4502125959714879,1,0,0.7309136564889828,0.6133287461279173,0,1,0,0,0.5279354347236423
0,1,1,1,9,0.043197596292357754,0.8662955954810947,0.15765585182622577,1,1,0.2581074303171499,0,0,0.014111169762166198,0.5098936253470291,1,0,0,1,0.6161306974599684
1,1,0,0,5,0.3330908921143554,0.12446794683682882,0.33578062836124445,9,2,0.26345054577577853,1,0,0.8385900088776951,0.23677199175755437,1,0,1,0,0.36201608369573834
1,0,0,0,1,0.07866623533583039,0.5552246104479186,0.6733930407710528,4,7,0.23842480929930876,1,1,0.3206419577736307,0.21296989869355154,0,1,0,1,0.9760420966880967
0,0,0,0,3,0.8873416088873401,0.09200599795838715,0.8975291103503532,8,4,0.9269561847093237,1,0,0.6297087676229686,0.4491443381269341,1,1,1,0,0.5877870848108092
0,1,0,0,8,0.14275330446998635,0.1138223238761199,0.6067475339771974,8,6,0.6328888417528495,1,0,0.46384383768779447,0.3301503188993177,1,0,1,1,0.1596481705431384
0,0,0,0,3,0.48360466650387157,0.03785525720932004,0.43229488074925204,8,8,0.15294603503645432,1,1,0.23927570818862065,0.0869117674633696,0,1,1,0,0.7828534472074509
0,0,0,1,7,0.7415582802271387,0.6275247324705411,0.4797488252994495,3,3,0.6622828277605192,1,0,0.11199736572358987,0.9660017067001547,0,0,1,1,0.026252908674501696
0,0,0,0,3,0.8077462736569928,0.09955139518107248,0.9295175811051345,9,2,0.7215036526238985,0,1,0.43781429836763563,0.6666750505243354,1,0,0,0,0.5511023281698124
0,0,0,1,5,0.9794806169724284,0.7089830228858859,0.8074958194272223,5,5,0.08907063555425554,0,0,0.8332236089412134,0.1674137776483815,0,1,1,0,0.03151035452621431
1,0,1,0,1,0.8725637305084601,0.5490019191754563,0.718776376934349,2,1,0.18547595649183168,0,1,0.250367946516858,0.8030044272102955,0,1,0,0,0.5603463066892448
1,1,0,0,3,0.8554772053399189,0.4639799603830548,0.777431252318349,5,2,0.6819066841898854,1,1,0.4367593578141933,0.9034391522125401,0,0,0,1,0.7078165799368854
1,0,1,1,2,0.8234278245318261,0.6684425953703986,0.10833278804517621,3,4,0.03680607648743528,0,1,0.779782989207673,0.8884591384264037,0,1,1,1,0.7501232849434134
0,1,1,1,7,0.4335436801775766,0.2637301161828579,0.09556799145364137,6,1,0.4009214809662296,0,0,0.5589591075777454,0.1397173247884641,1,0,1,0,0.8025804158381253
0,1,0,0,3,0.5749216708365955,0.858563681062612,0.7795110739146189,4,4,0.8614485423958177,1,1,0.5647047007958222,0.20967877285590808,1,0,0,0,0.1728103125317043
1,1,1,1,2,0.52081102098349,0.5496888144239273,0.4498695218956519,3,7,0.21919642136950046,0,0,0.42548223828081533,0.6382805170443439,0,1,1,0,0.9431584099885858
1,1,1,1,1,0.2214628398011027,0.3298228601174813,0.44945533987893405,1,3,0.8186397690417762,1,0,0.2866190759150483,0.4556406902710074,1,0,1,1,0.8553177541689565
